labels,Text
Sports,"Davies favours Gloucester future 

Wales hooker Mefin Davies is likely to stay with English side Gloucester despite reported interest from the Neath-Swansea Ospreys.

BBC Wales understands the Ospreys are interested in the 32-year-old, but that he would prefer to stay where he is. Davies, one of the stars of Saturday's RBS Six Nations win over England, is only on a year contract at Kingsholm. But the hooker has proved his worth to the Zurich Premiership side and is likely to get a new deal next season. The summer demise of the Celtic Warriors region left Davies in the cold and forced him to take a semi-professional contract with Neath RFC. Although he got match time with the Ospreys at the request of the Wales management, he admitted before his move to Gloucester that he was angry with the way he was treated. ""The WRU didn't give me any help off the field, it was very disappointing,"" Davies said at the time. ""It was a hard time throughout the summer, then deciding whether to accept an offer from Stade Francais which would have ended my Wales career."""
Sports,"Wales coach elated with win

Mike Ruddock paid tribute to his Wales side after they came from 15-6 down to beat France 24-18 in the Six Nations.

""After going two tries down in 12 minutes we had to show character,"" said the national team coach. ""I didn't have to tell them anything at half-time because those players have stared down the barrel of a gun before. ""They decided they didn't want to do that again and came out fighting. It was a great team effort and we showed great character to come back."" Man-of-the-match Stephen Jones, who kicked three penalties, a drop goal and conversion, was ecstatic following after the win at Stade de France.

""It's just a special moment. Two years ago we didn't win a single game in the Six Nations. But we're a very happy camp now,"" he said. ""We worked hard as a squad and I'm a proud Welshman. We've got hard matches to come, so we're just happy with the start."" Double try scorer Martyn Williams was keen not to talk about a possible Grand Slam for Wales. ""We've got more self-belief these days. Two or three years ago we might have collapsed after going behind so early. ""There's no mention of a Grand Slam among the players. We've got a tough game against Scotland at Murrayfield. They could bring us crashing down to earth."""
Sports,"Thomas out of Six Nations

Wales captain Gareth Thomas has been ruled out of the rest of the Six Nations with a broken thumb.

The full-back will have surgery on Monday after fracturing his thumb in the 24-18 win over France on Saturday. But Welsh legend Phil Bennett insisted Wales can cope without Thomas as they chase a first Grand Slam in 27 years. Bennett told BBC Sport: ""Such is the spirit in the camp, they'll put Kevin Morgan at 15, Rhys Williams at wing and just carry on."" Thomas will miss the match against Scotland on 13 March, and what promises to be a huge encounter against the Irish six days later. Bennett added: ""It's a setback. He's a great captain, he leads from the front and the boys love him."" Thomas was replaced at half-time by Williams as his side turned around a 15-6 deficit in Paris.

""With Gareth missing I would think Michael Owen will be our captain,"" said Wales coach Mike Ruddock. ""He did a great job in the second half in France. He has been vice-captain all along throughout the championship."" Wales travel to Edinburgh to take on Scotland in a fortnight and then host Ireland in Cardiff in the final round of matches in what could be the Grand Slam and championship decider. Bennett, an inspirational fly-half for Llanelli and Wales in the 1970s, insisted the national team were entering a new golden period. ""It was a great game and a magnificent result for Wales,"" Bennett told BBC Radio Five Live's Sportsweek programme.

""The way this young team are blending, the glory days are on their way back. ""We couldn't get possession early on and France dominated and scored two tries. ""Had they been ruthless, Wales could have gone into the interval 30 points down. But they didn't take their chances. ""Wales defended fairly well but you cannot give that sort of quality ball to good sides. ""The All Blacks would have been ruthless and buried us in the first half. But the character we showed in the second half was quite outstanding."""
Sports,"O'Gara revels in Ireland victory

Ireland fly-half Ronan O'Gara hailed his side's 19-13 victory over England as a ""special"" win.

The Munster number 10 kicked a total of 14 points, including two drop goals, to help keep alive their Grand Slam hopes. He told BBC Sport: ""We made hard work of it but it's still special to beat England. ""I had three chances to win the game but didn't. We have work to do after this but we never take a victory over England lightly."" Ireland hooker Shane Byrne echoed O'Gara's comments but admitted the game had been England's best outing in the Six Nations. Byrne said: ""It was a really, really hard game but from one to 15 in our team we worked really, really hard. ""We just had to stick to our defensive pattern, trust ourselves and trust those around us. All round it was fantastic."" Ireland captain Brian O'Driscoll, who scored his side's only try, said: ""We are delighted, we felt if we performed well then we would win but with England also having played very well it makes it all the sweeter. ""We did get the bounce of the ball and some days that happens and you've just got to jump on the back of it.""

Ireland coach Eddie O'Sullivan was surprised that England coach Andy Robinson said he was certain Mark Cueto was onside for a disallowed try just before the break. ""Andy was sitting two yards from me and I couldn't see whether he was offside or not so I don't know how Andy could have known,"" said O'Sullivan.

""What I do know is that England played well and when that happens it makes a very good victory for us. ""We had to defend for long periods and that is all good for the confidence of the team. ""I think our try was very well worked, it was a gem, as good a try as we have scored for a while."" O'Sullivan also rejected Robinson's contention England dominated the forward play. ""I think we lost one lineout and they lost four or five so I don't know how that adds up to domination,"" he said. O'Driscoll also insisted Ireland were happy to handle the pressure of being considered favourites to win the Six Nations title. ""This season for the first time we have been able to play with the favourites' tag,"" he said. ""Hopefully we have proved that today and can continue to keep doing so. ""As for my try it was a move we had worked on all week. There was a bit of magic from Geordan Murphy and it was a great break from Denis Hickie."""
Sports,"Fuming Robinson blasts officials

England coach Andy Robinson insisted he was ""livid"" after his side were denied two tries in Sunday's 19-13 Six Nations loss to Ireland in Dublin.

Mark Cueto's first-half effort was ruled out for offside before the referee spurned TV replays when England crashed over in the dying minutes. ""[I'm] absolutely spitting. I'm livid. There's two tries we've been cost,"" Robinson told BBC Sport. ""We've got to go back to technology. I don't know why we didn't."" South African referee Jonathan Kaplan ruled that Cueto was ahead of Charlie Hodgson when the fly-half hoisted his cross-field kick for the Sale wing to gather.

Kaplan then declined the chance to consult the fourth official when Josh Lewsey took the ball over the Irish line under a pile of bodies for what could have been the game-winning try. ""I think Mark Cueto scored a perfectly legal try and I think he should have gone to the video referee on Josh Lewsey,"" said Robinson. ""It is how we use the technology. It is there, and it should be used. ""I am still trying to work out the Cueto try. I have looked at both, and they both looked tries. ""We are very disappointed, and this will hurt, there is no doubt about that. ""We are upset now, but the referee is in charge and he has called it his way and we have got to be able to cope with that.

""We did everything we could have done to win the game. I am very proud of my players and, with a couple of decisions, this could have been a very famous victory. ""I thought we dominated. Matt Stevens had an awesome game at tighthead prop, while the likes of Charlie Hodgson, Martin Corry and Lewis Moody all came through well. ""Josh Lewsey was awesome, and every one of the forwards stood up out there. Given the pressure we were under, credit must go to all the players. ""We have done everything but win a game of rugby, but Ireland are a good side. They defended magnificently and they've got every chance of winning this Six Nations."" England have lost their first three matches in this year's Six Nations and four out of their six games since Robinson took over from Sir Clive Woodward in September."
Sports,"Lewsey puzzle over disallowed try

England's Josh Lewsey has claimed he was denied a late try in his side's Six Nations loss to Ireland.

The Wasps wing insisted he grounded the ball when he was bundled over the line and said referee Jonathan Kaplan had made a wrong decision. ""I'm positive I touched the ball down over the line,"" Lewsey told BBC Sport. ""It certainly wasn't a turnover. ""I was driven over and I put the ball on the ground. The whistle went and I let go of the ball."" Lewsey added: ""One of the Irish players scooped it back after the whistle and to our surprise the referee then gave a turnover. ""As far as I'm concerned, that incident and Mark Cueto's effort from Charlie Hodgson's cross-field kick that led to what looked like a good try were the two key elements in the game.""

Cueto was also puzzled as to why his try had been disallowed by Kaplan. ""I don't think I could have been offside for, without a doubt, I was behind the ball,"" said the Sale player. ""The move was a planned technique, it was not off the cuff. We rehearse it time and time again. ""I wouldn't say we were robbed, some decisions go with you and some go against you. Today they went against us and that's tough at international level."""
Sports,"Laporte tinkers with team

France coach Bernard Laporte has made four changes to the starting line-up that beat England for Saturday's Six Nations clash with Wales.

He opted for Yannick Nyanga in the back row instead of Grand Slam winner Imanol Harinordoquy, who is back in the squad. Other changes see Julien Laharrague win his first cap at full-back, Aurelien Rougerie return after injury on the wing and Yannick Jauzion in at centre. But Laporte has resisted fan pressure to start Frederic Michalak at fly-half. The dependable Yann Delaigue keeps the number 10 jersey, despite clamours for the flair of Michalak. The 26-year-old Laharrague gets his chance despite playing on the wing for his club Brive.

""We are launching him into the great international level,"" said team manager Jo Maso. ""He is young and this is a great opportunity for us and above all for him. ""There are 25 matches left before the World Cup so we must see as many players as possible. The competition is very high and open."" Jauzion, France's player of the year in 2004, would probably have played in the first two matches instead of the South African-born Liebeneberg had he been fit. The Stade Toulousain star wins his 23rd cap and is reunited with Damien Traille, with whom he forged an effective midfield in 2004. ""The return of Jauzion is going to be a plus for us,"" said Laporte. ""We are going to test him at an international level.""

Julien Laharrague (Brive), Aurelien Rougerie (Clermont), Yannick Jauzion (Stade Toulousain), Damien Traille (Biarritz), Christophe Dominici (Stade Francais), Yann Delaigue (Castres), Dimitri Yachvili (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (Beziers), Serge Betsen (Biarritz), Jerome Thion (Biarritz), Fabien Pelous (Stade Toulousain, capt), Nicolas Mas (Perpignan), Sebastien Bruno (Sale), Sylvain Marconnet (Stade Francais)

Replacements: William Servat (Stade Toulousain), Olivier Milloud (Bourgoin), Gregory Lamboley (Stade Toulousain), Imanol Harinordoquy (Biarritz), Pierre Mignoni (Clermont), Frederic Michalak (Stade Toulousain), Jean-Philippe Grandclaude (Perpignan)"
Sports,"Hodgson shoulders England blame

Fly-half Charlie Hodgson admitted his wayward kicking played a big part in England's 18-17 defeat to France.

Hodgson failed to convert three penalties and also missed a relatively easy drop goal attempt which would have given England a late win. ""I'm very disappointed with the result and with my myself,"" Hodgson said. ""It is very hard to take but it's something I will have to get through and come back stronger. My training's been good but it just didn't happen."" Hodgson revealed that Olly Barkley had taken three penalties because they were ""out of my range"" but the centre could not convert his opportunities either, particularly the drop goal late on. ""It wasn't a good strike,"" he added. ""I felt as soon as it hit my boot it had missed. It's very disappointing, but I must recover."" Andy Robinson said he would ""keep working on the kicking"" with his squad. However, the England coach added that he would take some positives from the defeat.

""We went out to play and played some very good rugby and what have France done?"" he said. ""They won the game from kicking penalties from our 10m line. ""It's very frustrating. The lads showed a lot of ambition in the first half, they went out to sustain it in the second but couldn't build on it. ""We took the ball into contact, and you know when you do that it is a lottery whether the referee is going to give the penalty to your side or the other side. ""We have lost a game we should have won. There is a fine line between winning and losing, and for the second week we've been on the wrong side of that line and it hurts.""

England went in at half-time with a 17-6 lead but they failed to score in the second half and Dimitri Yachvili slotted over four penalties as France overhauled the deficit. England skipper Jason Robinson admitted his side failed to cope with France's improved second-half display.

""We controlled the game in the first half but we knew that they would come out and try everything after half-time,"" he said. ""We made a lot of mistakes in the second half and they punished us. They took their chances when they came. ""It's very disappointing. Last week we lost by two points, now one point."""
Sports,"Yachvili savours France comeback

France scrum-half Dimitri Yachvili praised his team after they fought back to beat England 18-17 in the Six Nations clash at Twickenham.

Yachvili kicked all of France's points as they staged a second-half revival. ""We didn't play last week against Scotland and we didn't play in the first half against England,"" he said. ""But we're very proud to beat England at Twickenham. We were just defending in the first half and we said we had to put them under pressure. We did well."" Yachvili admitted erratic kicking from England's Charlie Hodgson and Olly Barkley, who missed six penalties and a drop goal chance between them, had been decisive. ""I know what it's like with kicking. When you miss some it's very hard mentally, but it went well for us,"" he said. France captain Fabien Pelous insisted his side never doubted they could secure their first win against England at Twickenham since 1997. France were 17-6 down at half-time, but Pelous said: ""No-one was down at half-time, we were still confident. ""We said we only had 11 points against us, which was not much. ""The plan was to keep hold of possession and pressure England to losing their composure."" France coach Bernard Laporte accepted his side had not played well. ""We know we have to play better to defend the title,"" he said. ""I'm not happy we didn't score a try but we're happy because we won."""
Sports,"Vickery out of Six Nations

England tight-head prop Phil Vickery has been ruled out of the rest of the 2005 RBS Six Nations after breaking a bone in his right forearm.

Vickery was injured as his club side, Gloucester, beat Bath 17-16 in the West country derby on Saturday. He could be joined on the sidelines by Bath centre Olly Barkley, who sat out the derby due to a leg injury. Barkley will have a scan on Sunday and might miss England's trip to Six Nations leaders Ireland next weekend. The news is just the latest blow for coach Andy Robinson, who has seen his side lose their opening two matches in the 2005 Six Nations. Robinson is already without World Cup winners Jonny Wilkinson, Will Greenwood, Mike Tindall, Richard Hill and Trevor Woodman through injury. Vickery has broken the radius, a large bone in his forearm. He only returned to the England side last weekend after a long-term back injury, which was followed by a fractured eye socket. And the Gloucester prop was only recalled after Leicester tight-head Julian White suffered a neck injury which has already seen him ruled out of the Ireland game.

Bath prop Matt Stevens is the only remaining tight-head in England's training squad and could be involved against Ireland. But he has to play second fiddle at club level to Duncan Bell, who excelled for England A against France and may now be called into the squad. The extent of Barkley's injury is not yet clear but Bath boss John Connolly rates him no better than ""50-50"" to face Ireland. Barkley played at inside cente in England's defeat by France and if he is unable to play, England's constantly-changing midfield will once again have to be altered.

Robinson could choose to recall Mathew Tait or Henry Paul, although Tait endured a nightmare for Newcastle against Leicester on Saturday and Paul limped off with an ankle injury against Bath. In-form Leicester centre Ollie Smith is the other outstanding candidate, and two tries against Newcastle will have boosted his chances. Fly-half Andy Goode is also a strong contender for the match-day 22 after an immaculate kicking display on Saturday. England, fourth in the Six Nations table with zero points, play Ireland, top of the table, in Dublin on 27 February, kick-off 1500 GMT."
